번호,카테고리,이름,본문,이미지
11,R.A.칩,핏빛 손아귀,  불이 흐르는 강에서 기어 올라온 손은 곧장 그 일대를 불태워버렸다. 손은 아주 뜨거운 용암을 눈물처럼 흘렸다.,Special_01
12,R.A.칩,창백한 손아귀,"  얼어붙은 강 가장 밑바닥에는 그래도 액체가 흐르긴 한다. 어느 날 한 남자는 강에서 무언가를 낚았다. 하얀 연기가 피어오르는 그것은 두어 번 기침을 했다. 입 안에서 얼음이 툭툭 떨어졌다. 그것은 자신을 강 밖으로 꺼내 준 남자에게 감사하며 손을 잡았다. 줄곧 강 밖의 세계를 꿈꿨다. 아무것도 못 하고 그저 강바닥에 누워서 캄캄한 얼음 천장을 바라보는 매일이 지겨웠기 때문이었다. 그러나 얼어붙은 강은, 모든 것이 얼어붙은 강은 누구도 찾아오지 않았다. 그런데 남자는 왜 이곳에서 낚시를 하고 있었을까? 그것은 고개를 들어 남자를 바라보았고, 손부터 얼어붙은 남자는 부서져 바닥에 흩어졌다.",Special_02
13,R.A.칩,시간을 먹는 개구리,"  1997.10.16$  개구리는 빠르게 혀를 내밀어 시간을 낚아챈다. 꾹 다문 입 안에, 위장 안에, 시간이 차곡차곡 쌓여있다. 배를 가르면 펄떡이는 붉은 심장과 회중시계 같은 위장이 드러나겠지. 그것을 터트리면 어떻게 될까? 빼앗긴 시간이 터져 나와 오늘 하루를, 끝내지 못하고 살아야 하게 될까?$  가까이 다가가자 이마에 붉은 점이 있는 개구리는 도망가 버렸다.$$  2467.10.16$  도저히 잡을 수 없다. 개구리는 멀찍이 떨어져 그 커다란 눈으로 나를 바라보고 있다. 고집스럽게 다문 입 안에는 파리가 있을까, 나의 빼앗긴 3시간 24분이 있을까. 저 붉은 점에 송곳을 꽂아 넣고 싶다. 짜증이 난다.$  하루가 빨리 지나갔으면, 하고 바랐던 날은 오늘이 아니었다. 왜 개구리는, 그날은 고집스럽게 입을 다물고 있더니.$  잡히면 반드시 저 입을 벌리고 시간을 토해내도록 할 것이다. 이미 삼켜버렸다면 위장을 갈라 꺼낼 것이다. 저 개구리에게 오늘을 빼앗길 수는 없다.",Special_03
14,R.A.칩,크림슨 크로우의 깃털,"  까마귀는 재앙을 불러오는 새라고 믿는 나라가 몇몇 있지. 그들은 모두 ‘라트 섬’을 기억하는 사람들의 후손일 거야. 이제 ‘라트 섬’을 아는 사람은 거의 없어. 아주 작은 그 섬은 오래 전 사라졌으니까.$  그날 마을 어귀에 갈까마귀가 나타났어. 깃털이 아주 붉고, 몸집이 큰 까마귀였지. 그는 돌연 고개를 쳐들더니 서럽게 울다가, 날개를 펄럭이며 하늘을 날았어. 마을을 가로지르고 라트 섬을 한 바퀴 빙 돌았지. 까마귀 우는 소리에 사람들은 하던 일을 멈추고 고개를 들곤 했어. 하늘에서는 그의 붉은 깃털이 살랑거리며 아주 천천히 떨어졌고, 그 깃털은 땅에 안착하는 순간 발화했어. 상상이 잘 가지 않을 거야. 그 까마귀의 깃털에서 시작된 불이 섬 전체를 모조리 불태웠다는 게. 활활 타는 라트 섬 위를 날며 까마귀는 울다 사라졌어. 그리고 그 섬 역시…….$  나 역시 까마귀가 재앙을 불러온다는 것을 믿어. 특히 붉은 까마귀는… 붉은 까마귀는 조심해야 해.",Special_04
15,R.A.칩,고독한 비숍,"  그가 죽었다.$  왕궁은 무너지려는 것처럼 흔들렸다. 왕좌의 다리에 금이 가기 시작했고, 창문을 깨고 물건들이 튀어나왔다. 비숍은 검은 바닥에 홀로 서 있었다. 하얀 바닥을 붉게 적시며 죽어가던 그를 떠올렸다. 비숍은 진즉에 그가 죽을 걸 예감했지만, 그가 있는 하얀 바닥으로 갈 수 없었다. 목이 잘린 기사의 몸이 들썩였다. 체크메이트 직전이었다.",Special_05
16,R.A.칩,야행매복의 룬다,"  절대 숲으로 가면 안 돼.$  만약 어쩌다 숲을 지나게 된다면… 이럴 땐 보통, 해가 지기 전에 돌아오라고 하지. 하지만, 아니야. 아주 한낮이라고 해도 곧장 돌아와야 해. 어둠은 어디서나 존재해. 네가 햇빛이 따사롭게 내리쬐는 오후에, 풍성한 나뭇잎이 만들어주는 그늘 아래를 걷는 게 무서워.$  그곳에는 그가 살아. 네 목덜미에 그의 이빨이 박힌다면, 그래서 네가 돌아오지 못하게 된다면, 나는 어떻게 살지?",Special_06
17,R.A.칩,줄리아나의 앞발,"  그 산골 마을에는 괴담이 있다.$  길 잃은 여행객이 묵는 집에는, 다음날 아침 집 외벽에 생긴 알 수 없는 손톱자국이 생긴다. 그것은 단순히 숲에 사는 짐승의 것이라고 하기엔 무척이나 크고 깊었다. 손톱자국의 주인으로 마을 사람들은 모두 줄리아나를 꼽았다.$  거대 곰 줄리아나. 손톱자국이 생긴 집의 주인은 안색이 창백해져 부랴부랴 짐을 싸곤 했다. 밤이 되기 전에 그 집을 버리고 떠나야 했다. 그렇지 않으면 그날 밤, 줄리아나의 무자비한 앞발에 의해 모든 것이 갈기갈기 찢길 것이다.$  길 잃은 불쌍한 여행객을 받아주지 않는 산골마을이 있다면, 여행객들이여, 밤새 걸어 그곳을 빠져나와라. 집을 부순 줄리아나의 다음 목표는 당신의 머리니까.",Special_07
18,R.A.칩,정의집행자,"  사랑의 이름으로!$  소녀는 혼비백산이 되어버린 도시 한가운데에 서서 웃었다. 그 사랑은 무척이나 짙고, 무겁고, 파괴적이었다. 무너진 구조물에 깔린 사람이 마지막 숨을 내쉬었다.$  그러나 걱정 마. 내가 곧 정의니까.",Special_08
19,R.A.칩,질풍삵,"  이따금 마을에는 태풍이 일어났다. 바람은 아주 날카로워서, 근처에 있는 집이 허물어지고 나무들이 뽑혀 하늘을 날아다녔다.$  지난번 태풍에서 겨우 살아난 마을 주민이 말했다. 그는 태풍의 눈에 있어 목숨을 건졌는데, 그곳에는 작은 삵 한 마리가 자신을 바라보고 있었다고.",Special_09
20,R.A.칩,혼돈과 질서,"  가면을 쓴 사람은, 낮과 밤의 경계에 서서 웃는 것처럼 울었다. 울음을 삼켜내는 듯 뱉어냈고, 숨을 쉬는 듯 멈췄다.$  바로 잡으려고 했던 모든 게 망가졌어.$  그 사람은 낮으로 넘어지려다 일어났고, 밤으로 쓰러지려다 일어났다. 눈물이 새지 않는 가면은 활짝 웃고 있었다.",Special_10
21,R.A.칩,검은 번개,"  아이는 번개를 검은 크레용으로 그렸다. 도화지에 그려진 하늘은 아주 맑았고, 내리치는 번개 옆에 서있는 아이는 기쁜 듯 웃고 있었다.$  선생님이 물었다. 검은 번개구나. 색이 독특하네. 이 그림은 어떤 즐거운 상황이니? 미술 시간의 주제는 ‘나의 즐거운 하루’였다. 아이는 검은 번개를 공들여 색칠하다 고개를 들었다.$  어제 번개가 쳤어요. 이렇게 새카만 색이었어요. 하늘이 크게 울더니, 삼촌의 머리로 쾅, 떨어졌는데, 삼촌이 흔적도 없이 사라진 거예요. 내가 삼촌을 제발 데려가 달라고 기도했었거든요. 검은 번개가 들어줬나 봐요. 아주 즐거운 하루였어요.",Special_11
22,R.A.칩,겁쟁이 닐스,"  닐스가 부활하는 모습을 본 적 있어? 자폭한 닐스의 주변은 그 체액에 전부 녹아 흔적도 없이 사라지지. 그를 위협했던 것들도, 그곳에 살고 있던 작은 벌레들도, 돌이나 풀 같은 것도 전부. 독이 스며든 땅에는 다시 생명체가 살지 못할 거야. 거기서 유일하게 숨 쉬고 있는 건 닐스 뿐이야. 사방으로 튄 그의 몸뚱어리는 꾸물거리며 한곳에 모여 뭉치지. 완전히 복구된 닐스는 잠깐 주변을 살펴보다가, 다시 자신의 몸을 숨길 수 있는 곳으로 도망가버려. 불쌍하지, 그가 거쳐 간 곳은 전부 텅 비어버려, 곧 숨을 곳조차 없어질 텐데. 그때가 되면 겁쟁이 닐스는 어떻게 할까? 자폭해도 부활해버리는데 어떻게 견딜까?",Special_12
23,R.A.칩,알하가의 외골격,  대장장이는 알하가의 외골격으로 세계 최강의 방패를 만들고자 했다.$  그러나 그 외골격을 어떻게 잘라내지?$  대장장이는 부러진 칼을 자루에 쓸어 담았다. 알하가는 아주 평화롭게 잠들어 있었다.,Special_13
24,R.A.칩,맹목적인 스카울러,"  괴물은 몸을 말고 곤히 잠들어 있었다.$  남자가 상황을 파악하는 데는 오랜 시간이 걸리지 않았다. 눈앞의 장면이 너무나도 명확하고 선명했기 때문이었다. 저 멀리 널브러져 있는 사람은 한눈에 알아보기 힘든 형태였다. 남자는 한참을 망연히 서 있다가, 뒤돌아 도망치기 시작했다.$  또한 동시에 괴물이 눈을 떴다. 괴물의 코와 귀가 움찔거렸다.",Special_14
25,R.A.칩,케툴라의 안개,"  안개가 짙게 낀, 이제는 폐허가 된 도시. 그곳은 자살 명소로 유명한 곳이었다. 방법은 아주 간단했다. 도시 하나를 집어 삼킨 자욱한 안개. 그 안으로 천천히 걸어 들어가면 되었다. 그러면 아무런 고통 없이, 그리고 시체조차 없이 사라질 수 있었다.$  그러나 도시 입구에는 사람의 뼈가 흩어져 있곤 했다.$  안개의 도시에서 도망쳐 나온 남자가 말했다. 함께 자살하러 간 친구는 안개로 들어가는 도중 마음을 바꾸었다. 갑자기 두려워진 것이다. 안개에 몸이 반쯤 삼켜진 친구는 황급히 뛰쳐나왔고, 즉사했다. 안개는 한 번 삼킨 몸은 뱉어내주지 않았다.$  얼마 뒤 남자는 사라졌다. 그는 친구와 같은 실수는 하지 않은 듯하다.",Special_15
26,R.A.칩,홀메이커,"  시계바늘은 규칙을 잃고 방황하고 있다. 아무리 달려도, 여기가 어딘지 모르겠고, 길을 잃었는데, 길을 잃을 곳이 아니었는데. 집으로 돌아가고 싶어. 집이 어디지?$  어디로 가야 하지?",Special_16
27,R.A.칩,기생수 로시셉톨,"  여자의 손등 혈관은 푸르고 두꺼웠다. 혈관이 눈에 띄게 도드라진 손으로 그녀는 종종 땅을 긁곤 했다. 그래서인지 손톱 밑에는 항상 흙이 껴있었다.$  여자는 어느날 커다란 삽을 샀다. 그것을 들고 집 앞마당을, 학교 화단을 무작정 퍼내다가, 그날은 마을의 뒷산으로 올라갔다. 깊은 곳으로 들어가던 그녀는 어느 한 곳에 우뚝 멈춰 섰다. 그러고는 구덩이를 파기 시작했다. 새벽 동이 틀 때까지 계속 삽질을 했다. 아주 깊은 구덩이가 완성되고 여자는 그 앞에서 옷을 벗었다. 아무것도 걸치지 않은 여자는, 무덤 같은 구덩이로 들어가 몸을 흙으로 덮었다. 그 모든 동작은 군더더기가 없었으며 스스로를 매장한 여자의 표정에는 감정이 없었다.$  아침의 숲은 유난히 생기로웠다.",Special_17
28,R.A.칩,트리클로,  빌딩 유리창으로 거대한 괴수의 그림자가 드리워졌다. 사무실 안에 그늘이 졌다. 사람들은 놀라 다급하게 파일을 저장했다.$  괴수의 그림자는 천장을 타고 손을 뻗었다. 그러고는 하얗게 타고 있는 전등을 움켜쥐었다. 괴수는 사무실의 전등을 하나 둘 터트리며 빛을 먹었다. 빛을 삼킨 괴수의 그림자는 점점 옅어지다가 사라졌다.$  한 직원이 의자를 밟고 올라가 터진 전등을 새 걸로 갈아 끼웠다. 사무실이 다시 밝아졌다.,Special_18
29,R.A.칩,거미신부의 바늘,"  이 바늘로 심장을 꿰뚫으면, 상관없다, 이제 그 심장은 나의 것이고, 누구든 나를 사랑하게 될 거니까!",Special_19
30,이레귤러,THR-1,"THR-1 색인 완료.$$$  의아한 점은 몇 백 종의 이레귤러가 이 구역에 들어오고 연구되는 동안, THR-1에 대한 연구는 아주 미미하게 진행되었다는 것이다. THR-1은 구역 설립 때부터 있었고, 위험 등급도 낮은 편이며, 공격적이지 않고 온건해서 연구에 어려움이 있을만한 이레귤러는 아니다. 그렇다고 능력의 수준이 낮은 것 또한 아니다. THR-1은 연구소의 핵심 시스템과 근접한 능력을 가지고 있다. 즉, 아켈로그 연구소의 창립자 A의 ‘규정화 이론’과 아주 비슷하다는 것이다. 그럼에도 연구의 성과가 없는 이유가 무엇일까?$  THR-1과의 첫 만남은 이런 의아함을 더욱 극대화시켰다. 나를 올려다보는 파란 눈이나 흰 가운 같은 옷에 감싸인 가는 몸은… 아무리 생각해도 ‘위험’과는 거리가 먼 것이었다.$  아무도 연구를 진행하지 않는다면, 나 혼자의 힘으로 끌어가면 된다.$$  다행이 THR-1은 나를 굉장히 잘 따라줬다. 내가 오기까지 얌전히 기다릴 줄 알았고, 아카샤 스캔 및 연구를 진행하는 동안 큰 말썽도 없었다. 과연 협조적인 이레귤러였다.$  그러나 이 협조가, 나는 선한 성격 때문이 아니라 불안과 두려움 때문일지도 모른다는 생각이 들었다. 어쩌면 다른 구역에서 쫓아내듯 이곳으로 보낸 건 아닐까. 이 부분에 대해서 조금 더 알아봐야겠다.$$  매점에서 초콜릿을 샀다. THR-1은 한 번도 초콜릿을 먹어본 적이 없다고 했다. 담당 이레귤러와 친해지면 여러모로 좋은 일이니까.$$-연구원 K의 연구일지",THR1
31,이레귤러,THR-1의 인형,"THR-1의 인형 색인 완료.$$$  THR-1의 인형은 THR-1이 자유롭게 조종할 수 있지만, 이것만 가지고는 이레귤러들이 날뛰는 연구소 내부를 지나가기엔 부족하다. 다행히 평소 내가 개인적으로 개조해봤던 모듈들을 인형에 장착시킨다는 아이디어를 떠올릴 수 있었다.$  THR-1의 도움을 받아 실제 THR-1의 스캐닝 및 규정화 작업에 쓰이던 분석 모듈과 메인 시스템 접속 모듈, 내가 개조한 규정화 모듈, 아카샤 저장소 모듈, 구현화 모듈들을 연구소 장비를 이용하여 이어 붙였다.$  그 다음 모듈들을 인형의 머리와 팔에 착용시켰다. 그러자 자연스럽게 모듈들의 형태가 인형에 어울리게 변형이 되어 인형과 일체화 되었다. 덕분에 THR-1의 인형은, 인형이라고 칭하긴 하나 거의 로봇과도 같은 상태가 되어 버렸다. 이런 상태여도 THR-1에겐 자기 인형의 일부분으로 취급이 되어 자유롭게 움직일 수 있다는 점이 신기하다. 역시 이레귤러는 흥미로운 존재이다. 탈출 후, 나중에 여유가 생기면 THR-1의 협조를 받아 이 능력에 대해서 좀 더 연구해봐야겠다.$.$.$.$  ...이 혼란스러운 상황 속에서 THR-1의 존재는 그 자체로 큰 위안이 되는 것 같다. 정말 인정하긴 싫지만... 나 혼자만이었다면 이렇게 침착하지 못했을 것이다. ...내가 무슨 소리를 하는 건지. 연구자라는 사람이 이런 감성적인 소리를 다 하고... 그 아이에게 물들었나 보다.$  이제 인형을 실험실 밖으로 내보내 봐야겠다. 성공적으로 탈출 할 수 있기를 바란다. 나를 위해서라도, 그 아이를 위해서라도.$$-연구원 K의 음성기록",Doll
32,이레귤러,THR-584,"THR-584 ｢집착의 손｣ 색인 완료.$$$  나무 재질의 인형 손. 부러져서 손목까지만 남아있는 형태의 이레귤러다.$  인간이 손으로 할 수 있는 일은 거의 모두 따라할 수 있다. 그러나 지능 수준은 낮은 편으로, 깊은 사고와 섬세한 움직임은 불가능해 보인다. 관찰 결과 ｢집착의 손｣의 행동은 무언가 움켜쥘 듯, 그리고 내리쳐 부술 듯, 주먹을 쥐고서 행하는 단순한 움직임이었다. 꽤나 공격적이다.$  그 외에 가끔씩 서로의 몸을 긁어주는 모습을 보이는데, 이들 안에 벌레가 살고 있는 것 같다. 나무가 점점 썩는 듯하다. 또한 다섯 개의 둔탁한 손가락은 이동수단으로도 사용된다. 손가락을 이용해 바닥을 기어 이동하며, 발소리처럼 ‘달그락 덜그럭’ 소리가 난다.$  나무인형 모습의 본체가 있고 거기서 떨어져 나온 이레귤러의 일부인지, 개별적인 존재로서 하나의 이레귤러인지는 아직 명확하게 밝혀지지 않았다.$$  나무가 썩는다는 것이 조금 의심스럽다. ｢집착의 손｣의 정체를 파헤치는 데 중요한 단서가 되지 않을까.$$-연구원 P의 연구일지",Monster_01
33,이레귤러,THR-591,"THR-591 ｢중압의 손｣ 색인 완료.$$$  (THR-584 ｢집착의 손｣ 연구기록에서 추가)$  THR-584 ｢집착의 손｣ 이레귤러의 정체에 관하여, 새로운 가설로 ‘기생설’이 나왔다. 부러진 나무인형 손에 달라붙은 이레귤러가 그것을 조종하고 있다는 것이다. 그 이레귤러가 무엇인지, 어떤 형태인지는 밝혀진 게 없어 아직은 막연한 추측일 뿐이다.$  이 가설의 확인을 위해 연구원 P는 THR-591 ｢중압의 손｣을 함께 주목하고 있다. ｢중압의 손｣은 ｢집착의 손｣과 같은 형태, 움직임 등을 보인다. THR구역 연구원들은 이들을 같은 이레귤러로 보고 있다. 그러므로 만약 인형 손에 기생하는 이레귤러가 있다면, 나무 인형의 ｢집착의 손｣보다 ｢중압의 손｣에서 발견하기 더 쉬울 것이다.$  연구원 P의 요청에 따라 ｢집착의 손｣과 ｢중압의 손｣을 공동 연구하기로 한다. ｢중압의 손｣이 ｢집착의 손｣을 부수지 않도록 더욱 각별한 주시가 필요할 것이다.$$-연구원 S의 연구일지",Monster_02
34,이레귤러,THR-058,"THR-058 ｢변덕쟁이 보즈｣ 색인 완료.$$$  4월 21일. 맑음.$  ｢변덕쟁이 보즈｣는 천장에 매달려있다. 처마 밑에 걸어두면 날씨가 맑아진다는 속설을 가진 일본의 인형 ‘테루테루보즈’의 모습이라 그런가. 발견할 때마다 천장에서 떼어내 보지만, 어느새 다시 매달려 있곤 한다. 천장이든 막대기든, 매달릴 수 있는 곳이면 어디든 걸려있다.$  처마 밑이 아닌데도 날씨가 맑다.$$  4월 22일. 맑음.$  큰 이상은 없다.$  문득 이 이레귤러의 별칭이 왜 ｢변덕쟁이 보즈｣인지 궁금증이 일었다. 지금까지 관찰한 바로는 딱히 변덕스럽지 않았다. ‘변덕’은 이레귤러의 특징이 아니라 담당 연구원들 때문에 붙은 이름인가? 지금까지 ｢변덕쟁이 보즈｣의 담당 연구원은 수십 번 바뀌었다. 어쩌면 이것 때문일지도 모르겠다.$$  23월 4일. 코끼리.$  보라색은 하늘, 코끼리가 내리는 정오의 밤. 목매단 인형은 버둥대다 뒤집혀. 억울한 눈물이 흐른다. 울상을 짓지 마세요. 딸기가 올라간 소트 케이크를 먹자. 바닥으로 쿵쿵 떨어지는 코끼리에 나는 압사 당한다. 납작해진 나는 곧 녹아서 아스팔트에 스며들겠지. 울상을 지으세요. 그 눈알에서 내가 뚝뚝 떨어질 겁니다. 그러면 나는 코끼리처럼 떨어지고, 날씨가 아주 좋습니다, 선생님! 소풍 가기 딱 좋게 비가 오네요!$$  4월 25일. 맑음.$  큰 이상은 없다.$$-연구원 R의 연구일지",Monster_03
35,이레귤러,THR-708,"THR-708 ｢불타는 보즈｣ 색인 완료.$$$  사건번호 251$  6월 2일, ‘게이트 차단’ 시스템의 이상으로 이레귤러를 격리해둔 일부 아공간 게이트가 오픈되는 일이 발생하였다. 시스템은 약 10분 후 정상 복구되었지만, 그동안 두 건의 사고가 일어났다.$$  1. THR-058 ｢변덕쟁이 보즈｣와 특별 관리 대상인 NSW-031 ｢파블루스｣의 불필요한 접촉이 있었다. 이로 인해 몇몇 ｢변덕쟁이 보즈｣가 변이한 것을 확인하였다. ｢변덕쟁이 보즈｣의 하얀 천이 ｢파블루스｣의 화염 에너지에 휩싸여 일부 타들어간 것이다.$  변이한 ｢변덕쟁이 보즈｣는 다른 아공간에 격리하였다. 우선 관리번호 THR-708을 부여, 집중 관찰하도록 한다. 이에 따라 별칭도 ｢불타는 보즈｣라 임시 부여한다.$  시스템 이상을 일으킨 연구원 R은 즉각 체포하였다. 그는 ｢변덕쟁이 보즈｣의 담당 연구원으로, 정신착란 증세를 보이고 있었다. ｢변덕쟁이 보즈｣의 비에 장시간 노출되어 정신오염이 일어난 것으로 생각된다. 그는 계속해서 ‘비, 화염의 비, 활활 타오르는 비가 솟구친다, 그리고 그것은 펑, 펑펑!’이라는 말만 반복했다. 연구원 R은 아켈로그 연구소 소속 병원에 입원시키고, ｢변덕쟁이 보즈｣ 담당 연구원을 새로 임명한다.$$  2. THR-212 ｢B9｣의 수가 맞지 않다는 보고가 올라왔다. 게이트가 잠깐 오픈됐을 때 빠져나갔을 것으로 생각된다. 빠른 시일 내에 찾도록 하고, 만약 다른 이레귤러와의 접촉이 있었던 것으로 보이면 위와 같은 방식을 취하도록 한다.$$-THR구역 비상대책부서 담당자 Y",Monster_04
36,이레귤러,THR-354,"THR-354 ｢토끼눈알｣ 색인 완료.$$$  그 눈은 좀처럼 눈을 맞추기 어려웠다.$  겉보기엔 낡고 헤져서 허름해진 토끼 인형이지만, 그 안에는 속눈썹을 파르르 떨고 있는 충혈된 눈알이 숨어있다. 검붉은 혈관이 도드라져서 올라온 눈은 나를 계속 주시하고 있다. 조금이라도 허튼 움직임이 보이면 날카로운 눈물이 쏟아진다. 그 눈물은 각막 위에 축적된 공포가 녹아있다. 불안의 짠 맛이다.$  눈알이 쓰고 있는 토끼 탈은 거미 신부의 선물이다. 눈알은 거미줄 냄새가 나는 탈을 뒤집어쓰고 눈을 감고 있으면, 그나마 안정감을 느끼는 듯하다. 토끼 탈 안쪽의 세계는 그 누구도 눈알을 겁주지 않았다.$$-연구원 D의 연구일지",Monster_05
37,이레귤러,THR-736,"THR-736 ｢멧돼지눈알｣ 색인 완료.$$$  연구소 주의 사항$  ‘300미터 이상 절대 접근 금지’$  THR-736 ‘멧돼지눈알’ 구역에 갈 때 잊지 말아야 한다.$$  THR-354 ｢겁쟁이눈알｣의 별칭 및 관리번호 변경 요청 (THR-354 담당 연구원 B)$  눈알 모습을 한 이레귤러입니다. 위험등급은 낮은 편에 속합니다. 인기척을 느끼면 겁을 집어먹어 바짝 굳고, 반대로 인기척이 없으면 사방팔방을 경계하느라 정신없습니다. 이들의 충혈된 모습은 눈을 깜빡이지도 못하고 종일 신경을 곤두세우기 때문이라 생각하고 있습니다. (이렇게 서술했지만, 눈꺼풀이 없어 애초에 눈을 깜빡일 수 있는지는 확인되지 않았다.)$  이 ｢겁쟁이눈알｣을 THR-354 ｢토끼눈알｣로 변경, 또 THR-736 ｢멧돼지눈알｣로 새로 분리, 생성할 것을 요청합니다.$  THR-724 ｢거미신부 아라네아｣가 ｢겁쟁이눈알｣에게 인형 탈을 만들어준 것 같습니다. 종류는 두 가지인데, 하나는 토끼 모양이고 다른 하나는 멧돼지 모양입니다. ｢겁쟁이눈알｣이 그것을 뒤집어쓴 채로 영 벗지 않아서 가만히 두었습니다. 그저 인형 탈이었는데…….$  원래 ｢겁쟁이눈알｣은 겁이 많아서 그런지 매우 순종적이었습니다. 그러나 인형 탈을 쓴 이후로 이들의 공격성은 크게 증가했습니다. 또한 그 공격성도 탈의 모양에 따라 다른 성격을 보여서 관리번호를 새로 부여하여 따로 연구하는 것이 좋을 거라고 생각됩니다. 위험등급도, 높여야할 것 같습니다.$  저희는 ｢거미신부 아라네아｣가 만들어준 탈이 원인이라고 강력하게 생각하고 있지만, 이에 대한 연구는 당장 이루어지기 힘들 듯합니다. 이들의 공격성은 가까이 다가갈수록 더욱 심해져서, 인형 탈에 접근하기가 불가능합니다. 이들이 겁쟁이라는 것이 연구를 진행하는 데 큰 도움이 됐는데… 지금은 그로 인한 자기방어로 골머리를 앓고 있네요. 아무튼 빠른 시일 내에 연구 방법을 고안해내도록 하겠습니다.$$-서기 E의 기록",Monster_06
